zip,type,primary_city,state,area_codes,latitude,longitude,estimated_population
1077,STANDARD,Southwick,MA,413,42.05,-72.76,8567
1079,PO BOX,Thorndike,MA,413,42.18,-72.33,766
1080,STANDARD,Three Rivers,MA,413,42.18,-72.37,1888
1081,STANDARD,Wales,MA,413,42.06,-72.21,1491
1082,STANDARD,Ware,MA,413,42.25,-72.24,8509
1083,PO BOX,Warren,MA,413,42.21,-72.19,2519
1084,STANDARD,West Chesterfield,MA,413,42.41,-72.87,0
1085,STANDARD,Westfield,MA,413,42.13,-72.75,32344
1086,PO BOX,Westfield,MA,413,42.13,-72.75,664
1088,STANDARD,West Hatfield,MA,413,42.39,-72.64,458
1089,STANDARD,West Springfield,MA,413,42.12,-72.65,23043
1090,PO BOX,West Springfield,MA,413,42.12,-72.65,404
1092,PO BOX,West Warren,MA,413,42.2,-72.2,1063
1093,PO BOX,Whately,MA,413,42.45,-72.61,476
1094,PO BOX,Wheelwright,MA,413,42.35,-72.14,0
1095,STANDARD,Wilbraham,MA,413,42.13,-72.43,13107
1096,STANDARD,Williamsburg,MA,413,42.4,-72.71,2266
1097,PO BOX,Woronoco,MA,413,42.19,-72.82,0
1098,STANDARD,Worthington,MA,413,42.41,-72.93,1076
1101,PO BOX,Springfield,MA,413,42.11,-72.53,1531
1102,PO BOX,Springfield,MA,413,42.11,-72.53,0
1103,STANDARD,Springfield,MA,413,42.11,-72.53,1533
1104,STANDARD,Springfield,MA,413,42.11,-72.53,15795
1105,STANDARD,Springfield,MA,413,42.11,-72.53,6054
1106,STANDARD,Longmeadow,MA,413,42.04,-72.57,14332
1107,STANDARD,Springfield,MA,"860,413",42.11,-72.53,6360
1108,STANDARD,Springfield,MA,413,42.11,-72.53,17151
1109,STANDARD,Springfield,MA,413,42.11,-72.53,17988
1111,UNIQUE,Springfield,MA,413,42.11,-72.53,0
1115,PO BOX,Springfield,MA,413,42.11,-72.53,0
1116,PO BOX,Longmeadow,MA,413,42.04,-72.57,0
1118,STANDARD,Springfield,MA,413,42.11,-72.53,11858
1119,STANDARD,Springfield,MA,413,42.11,-72.53,9915
